Task Name,Objects,Instructions,Wrong Instructions
PutKnifeInKnifeBlock,"['chopping_board', 'knife_block', 'boundary', 'chopping_board_visual', 'knife_boundary', 'knife_block_visual', 'knife', 'knife_visual']","['put the knife in the knife block', 'slide the knife into its slot in the knife block', 'place the knife in the knife block', 'pick up the knife and leave it in its holder', 'move the knife from the chopping board to the holder']","['put the knife on the chopping board', 'slide the knife under the knife block', 'place the knife next to the knife block']"
PutMoneyInSafe,"['safe_body', 'dollar_stack_boundary', 'dollar_stack', 'safe_door', 'dollar_back_visual', 'dollar_front_visual']","['put the money away in the safe on the middle shelf', 'leave the money on the middle shelf on the safe', 'place the stack of bank notes on the middle shelf of the safe']","['put the money away in the safe on the top shelf', 'leave the money on the bottom shelf on the safe', 'place the stack of bank notes outside the safe']"
PutPlateInColoredDishRack,"['plate_stand', 'dish_rack', 'boundary', 'plate', 'dish_rack_pillar3', 'dish_rack_pillar4', 'dish_rack_pillar2', 'dish_rack_pillar1', 'dish_rack_pillar0', 'dish_rack_pillar5', 'plate_visual']","['put the plate between the yellow pillars of the dish rack', 'place the plate in the the yellow section of the drying rack', 'pick up the plate and leave it between the yellow spokes on the dish rack']","['put the plate between the red pillars of the dish rack', 'place the plate in the the blue section of the drying rack', 'pick up the plate and leave it between the green spokes on the dish rack']"
SlideCabinetOpenAndPlaceCups,"['cup', 'cabinet_base', 'cup_visual', 'left_board', 'right_board', 'left_handle_visual', 'left_board_visual', 'right_handle_visual', 'right_board_visual']","['put cup in left cabinet', 'put the mug away in the left half of the cabinet', 'open the left side of the cabinet and put the cup away in it', 'grasping the left handle, open the cabinet, then pick up the cup and set it down inside the cabinet', 'slide open the left door on the cabinet and put away the mug']","['put cup in right cabinet', 'put the mug away in the right half of the cabinet', 'open the right side of the cabinet and put the cup away in it']"
StackBlocks,"['stack_blocks_target0', 'stack_blocks_target_plane', 'stack_blocks_target1', 'stack_blocks_target2', 'stack_blocks_target3', 'stack_blocks_distractor0', 'stack_blocks_distractor1', 'stack_blocks_distractor2', 'stack_blocks_distractor3', 'stack_blocks_boundary0', 'stack_blocks_boundary1', 'stack_blocks_boundary2', 'stack_blocks_boundary3']","['stack 4 azure blocks', 'place 4 of the azure cubes on top of each other', 'pick up and set down 4 azure blocks on top of each other', 'build a tall tower out of 4 azure cubes', 'arrange 4 azure blocks in a vertical stack on the table top', 'set 4 azure cubes on top of each other']","['stack 3 azure blocks', 'place 5 of the azure cubes on top of each other', 'pick up and set down 2 azure blocks on top of each other', 'build a short tower out of 4 azure cubes', 'arrange 4 azure blocks in a horizontal line on the table top', 'set 4 azure cubes side by side']"
StackCups,"['cup1', 'cup2', 'cup3', 'boundary', 'cup1_visual', 'cup2_visual', 'cup3_visual']","['stack the other cups on top of the purple cup', 'place two of the cups onto the odd cup out', 'put the remaining two cups on top of the purple cup', 'pick up and set the cups down into the purple cup', 'create a stack of cups with the purple cup as its base', 'keeping the purple cup on the table, stack the other two onto it']","['scatter the cups randomly on the table', 'place the cups outside the boundary', 'put the cups in a line next to each other', 'pick up and throw the cups', 'create a stack of cups without the purple cup', 'keeping the purple cup aside, stack the other two away from it']"
StackWine,"['wine_bottle', 'wine_bottle_visual', 'rack_bottom', 'rack_top', 'rack_bottom_visual', 'rack_top_visual']","['stack wine bottle', 'slide the bottle onto the wine rack', 'put the wine away', 'leave the wine on the shelf', 'grasp the bottle and put it away', 'place the wine bottle on the wine rack']","['throw the wine bottle', 'drop the bottle on the floor', 'place the wine bottle in the trash']"
StraightenRope,"['tail', 'head_target', 'head_tail', 'Cylinder16', 'Cylinder15', 'Cylinder14', 'Cylinder13', 'Cylinder12', 'Cylinder11', 'Cylinder10', 'Cylinder9', 'Cylinder8', 'Cylinder7', 'Cylinder6', 'Cylinder5', 'Cylinder4', 'Cylinder3', 'Cylinder2', 'Cylinder1', 'head']","['straighten rope', 'pull the rope straight', 'grasping each end of the rope in turn, leave the rope straight on the table', 'pull each end of the rope until is is straight', 'tighten the rope', 'pull the rope tight']","['bend the rope', 'leave the rope in a loop', 'grasping the middle of the rope, leave it in a curve', 'pull each end of the rope until it is loose', 'loosen the rope', 'leave the rope slack']"
SweepToDustpan,"['Dustpan_4', 'dirt0', 'broom_holder', 'Dustpan_3', 'dirt1', 'dirt2', 'dirt3', 'dirt4', 'broom', 'Dustpan_5', 'sweep_to_dustpan_broom_visual']","['sweep dirt to dustpan', 'sweep the dirt up', 'use the broom to brush the dirt into the dustpan', 'clean up the dirt', 'pick up the brush and clean up the table', 'grasping the broom by its handle, clear way the dirt from the table', 'leave the table clean']","['pick up the dustpan and sweep the dirt', 'use the broom holder to clean the dirt', 'grasping the dustpan by its handle, clear away the dirt from the table']"
TakeCupOutFromCabinet,"['cup', 'cabinet_base', 'Plane', 'cup_visual', 'left_board0', 'right_board', 'left_handle_visual', 'left_board_visual', 'right_handle_visual', 'right_board_visual']","['take out a cup from the right half of the cabinet', 'open the right side of the cabinet and get the cup', 'grasping the right handle, open the cabinet, then retrieve the cup', 'slide open the right door on the cabinet and put take the cup out', 'remove the cup from the right part of the cabinet']","['take out a cup from the left half of the cabinet', 'open the left side of the cabinet and get the cup', 'grasping the left handle, open the cabinet, then retrieve the cup', 'slide open the left door on the cabinet and put take the cup out', 'remove the cup from the left part of the cabinet']"
TakeFrameOffHanger,"['frame', 'task_wall', 'frame_visual', 'frame_detector', 'head', 'picture', 'hanger']","['take frame off hanger', 'slide the photo off of the hanger and set it down on the table', 'grab a hold of the frame, remove it from the hanger and put it down', 'grasping the picture frame, take it off the wall and place iton the table top', 'take the picture down', 'remove the photo frame from the wall']","['take frame off the table', 'slide the photo off of the table and set it down on the hanger', 'grab a hold of the frame, remove it from the table and put it down', 'grasping the picture frame, take it off the table and place it on the wall', 'take the picture up', 'remove the photo frame from the table']"
TakeLidOffSaucepan,"['saucepan', 'saucepan_lid_grasp_point', 'saucepan_visual', 'saucepan_lid', 'saucepan_lid_visual']","['take lid off the saucepan', 'using the handle, lift the lid off of the pan', 'remove the lid from the pan', ""grip the saucepan's lid and remove it from the pan"", 'leave the pan open', 'uncover the saucepan']","['put the lid back on the saucepan', 'leave the lid on the pan', 'cover the saucepan', ""grip the saucepan's handle and leave the lid on"", 'keep the pan closed', 'do not uncover the saucepan']"
TakeMoneyOutSafe,"['safe_body', 'placement_boundary', 'dollar_stack2', 'dollar_stack1', 'dollar_stack0', 'money_boundary', 'safe_door', 'dollar_back_visual2', 'dollar_front_visual2', 'dollar_back_visual1', 'dollar_front_visual1', 'dollar_back_visual0', 'dollar_front_visual0']","['take the money out of the top shelf and place it on the table', 'take the stack of money out of the third shelf and place it on the table', 'take one of the stacks of money out of the top bit of the safe', 'take the money off of the third shelf of the safe', 'grasp the bank notes in the top and remove it from the safe', 'get the money from the third shelf', 'retrieve the stack of bank notes from the top of the safe', 'locate the money on the top shelf, grasp it, remove if from the safe, and set it on the table', 'put the money on the third shelf down on the table']","['take the money out of the bottom shelf and place it on the table', 'take the stack of money out of the first shelf and place it on the table', 'take one of the stacks of money out of the bottom bit of the safe']"
TakeOffWeighingScales,"['scales_body', 'scales_body_visual', 'SpringDamper', 'scales_meter', 'peppers_boundary', 'pepper2', 'pepper0', 'pepper1', 'scales_meter_pivot', 'pepper_visual2', 'pepper_visual0', 'pepper_visual1', 'scales_tray_physical', 'scales_meter_needle', 'scales_tray_visual']","['remove the red pepper from the weighing scales and place it on the table', 'take the red pepper off of the scales', 'lift the red pepper off of the tray and set it down on the table', 'grasp the red pepper and move it to the table top', 'take the red object off of the scales tray', 'put the red item on the item']","['remove the green pepper from the weighing scales and place it on the table', 'take the green pepper off of the scales', 'lift the green pepper off of the tray and set it down on the table', 'grasp the green pepper and move it to the table top', 'take the green object off of the scales tray', 'put the green item on the item']"
TakePlateOffColoredDishRack,"['plate', 'dish_rack', 'plate_target', 'plate_visual', 'dish_rack_pillar3', 'dish_rack_pillar4', 'dish_rack_pillar2', 'dish_rack_pillar1', 'dish_rack_pillar0', 'dish_rack_pillar5']","['take plate off the black colored rack', 'remove the dish from the black rack', 'find the dish placed between the black spokes of the dish rack and drop it on the table', 'grasp the plate from the black part of the dish rack, lift it up off of the rack, and leave it on the table top', ""move the plate from the black rack to the table's surface"", 'lift the plate up off the black colored rack and drop it onto the table from a considerable height']","['take plate off the red colored rack', 'remove the dish from the blue rack', 'find the dish placed between the green spokes of the dish rack and drop it on the floor', 'grasp the plate from the yellow part of the dish rack, lift it up off of the rack, and leave it on the chair', ""move the plate from the white rack to the table's edge"", 'lift the plate up off the purple colored rack and drop it onto the chair from a considerable height']"
TakeShoesOutOfBox,"['shoe1', 'box_base', 'shoe2', 'shoe1_visual', 'shoe2_visual', 'box_lid']","['take shoes out of box', 'open the shoe box and take the shoes out', 'put the shoes found inside the box on the table', 'set the shoes down on the table', 'pick up the shoes from the box and put them down', 'grasp the edge of the box lid to open it, then grasp each shoe, lifting up out of the shoe box and leaving them down on the table']","['put the shoes back in the box', 'close the shoe box and leave the shoes inside', 'place the shoes found outside the box back into the box']"
TakeToiletRollOffStand,"['toilet_roll', 'stand_base', 'toilet_roll_visual', 'toilet_roll_holder', 'holder_visual']","['take toilet roll off stand', 'slide the toilet paper of its stand and set it down', 'place the roll onto the table', 'get the toilet paper roll and then leave it on the table', 'remove the toilet roll from the holder', 'get the toilet paper', 'grasping the end of the roll, pull if off of the stand, and set it on the table']","['put the toilet roll back on the stand', 'leave the toilet paper on the stand', 'place the roll back onto the holder']"
TakeUsbOutOfComputer,"['usb', 'computer', 'usb_visual', 'tip', 'computer_visual', 'Plane', 'Plane0', 'Plane1', 'Plane2']","['take usb out of computer', 'remove the usb stick from its port', 'retrieve the usb stick', 'grasp the usb stick and slide it out of the pc', 'get a hold of the usb stick and pull it out of the desktop computer']","['insert usb into computer', 'push the usb stick into its port', 'leave the usb stick in place', 'grasp the usb stick and push it into the pc', 'get a hold of the usb stick and push it into the desktop computer']"
WaterPlants,"['plant', 'waterer', 'base_visual', 'plant_visual', 'waterer_visual', 'head']","['water plant', 'pick up the watering can by its handle and water the plant', 'pour some water on the plant', 'the plant needs hydration', 'pour water from the watering can into the plant pot', 'water the soil']","['pick up the plant and water it', 'pour water on the base_visual', 'water the head', 'pick up the plant_visual and water it', 'pour water from the waterer_visual into the plant pot', 'water the waterer']"
WeighingScales,"['scales_body', 'peppers_boundary', 'scales_body_visual', 'SpringDamper', 'scales_meter', 'pepper2', 'pepper0', 'pepper1', 'scales_meter_pivot', 'pepper_visual2', 'pepper_visual0', 'pepper_visual1', 'scales_tray_physical', 'scales_meter_needle', 'scales_tray_visual']","['weigh the green pepper', 'pick up the green pepper and set it down on the weighing scales', 'put the green pepper on the scales', 'place the green pepper onto the scales tray', 'lift up the green pepper onto the weighing scales', 'grasp the green pepper from above and lower it onto the tray']","['weigh the red pepper', 'pick up the red pepper and set it down on the weighing scales', 'put the red pepper on the scales']"
WipeDesk,"['sponge', 'dirt_boundary', 'sponge_visual']","['wipe dirt off the desk', 'use the sponge to clean up the desk', 'remove the dirt from the desk', 'grip the sponge and wipe it back and forth over any dirt you see', 'clean up the mess', 'wipe the dirt up']","['throw the sponge away', 'move the dirt around', 'ignore the dirt']"
ChangeChannel,"['tv_frame', 'tv_remote', 'spawn_boundary', 'target_button_topPlate0', 'target_button_topPlate1', 'target_button_topPlate2', 'target_button_wrap0', 'power_visual', 'target_button_wrap1', 'plus_visual', 'target_button_wrap2', 'minus_visual']","['turn the channel minus', 'change the television channel minus', 'point the remote at the tv and press the minus button to turn the channel minus', 'using the tv remote, ensure it is facing the television and press the minus button to increment the channel minus by one', 'find the minus button on the remote, rotate the remote such that it is pointed at the tv, then press the button to change the channel minus']","['turn the channel plus', 'change the television channel plus', 'point the remote at the tv and press the plus button to turn the channel plus', 'using the tv remote, ensure it is facing the television and press the plus button to increment the channel plus by one', 'find the plus button on the remote, rotate the remote such that it is pointed at the tv, then press the button to change the channel plus']"
OpenGrill,"['grill_root', 'grill', 'grill_visual', 'Shape1', 'lid', 'lid_visual', 'handle_visual']","['open the grill', 'grasp tha handle and raise the cover up to open the grill', 'open the bbq', 'open the barbecue']","['close the grill', 'grasp the handle and lower the cover to close the grill', 'close the bbq', 'close the barbecue']"
CloseGrill,"['grill_root', 'grill', 'grill_visual', 'Shape1', 'lid', 'lid_visual', 'handle_visual']","['close the grill', 'grasp the handle and lower the grill cover to close it', 'close the bbq', 'close the barbecue']","['open the grill', 'grasp the handle and raise the grill cover to open it', 'open the bbq', 'open the barbecue']"
SolvePuzzle,"['solve_puzzle_frame', 'solve_puzzle_piece1', 'solve_puzzle_piece3', 'solve_puzzle_piece4', 'solve_puzzle_piece5', 'solve_puzzle_piece6', 'solve_puzzle_piece7', 'solve_puzzle_piece8', 'solve_puzzle_piece9', 'solve_puzzle_piece10', 'solve_puzzle_piece11', 'solve_puzzle_piece12', 'solve_puzzle_piece13', 'solve_puzzle_piece14', 'solve_puzzle_piece15', 'solve_puzzle_piece16', 'solve_puzzle_piece17', 'solve_puzzle_piece18', 'solve_puzzle_piece19', 'solve_puzzle_piece20', 'solve_puzzle_piece21', 'solve_puzzle_piece22', 'solve_puzzle_piece23', 'solve_puzzle_piece24', 'solve_puzzle_piece2', 'solve_puzzle_piece_visual2']","['solve the puzzle', 'put the puzzle piece into the puzzle', 'pick up the puzzle piece and place it on the puzzle']","['disassemble the puzzle', 'throw the puzzle piece away', 'pick up the puzzle piece and drop it']"
PickUpCup,"['cup2', 'boundary', 'cup1', 'cup2_visual', 'cup1_visual']","['pick up the green cup', 'grasp the green cup and lift it', 'lift the green cup']","['pick up the red cup', 'grasp the blue cup and lift it', 'lift the yellow cup']"
PhoneOnBase,"['phone_case', 'phone_case_visual', 'phone', 'phone_visual']","['put the phone on the base', 'put the phone on the stand', 'put the hone on the hub', 'grasp the phone and put it on the base', 'place the phone on the base', 'put the phone back on the base']","['put the phone on the table', 'put the phone in the drawer', 'put the phone on the shelf']"
PutKnifeOnChoppingBoard,"['chopping_board', 'knife_block', 'boundary', 'chopping_board_visual', 'knife', 'knife_block_visual', 'knife_visual']","['put the knife on the chopping board', 'slide the knife out of the knife block and put it down on the chopping board', 'place the knife on the chopping board', 'pick up the knife and leave it on the chopping board', 'move the knife from the holder to the chopping board']","['put the knife on the boundary', 'slide the knife out of the knife block and put it down on the boundary', 'place the knife on the knife_block']"
PutBooksOnBookshelf,"['bookshelf', 'bookshelf_visual', 'book1', 'book2', 'book0', 'book1_visual', 'book2_visual', 'book0_visual', 'book1_front', 'book1_back', 'book1_side', 'book1_bottom', 'book1_top', 'book1_side_page', 'book2_front', 'book2_side', 'book2_back', 'book2_bottom', 'book2_side_page', 'book2_top', 'book0_front', 'book0_back', 'book0_bottom', 'book0_front1', 'book0_top', 'book0_side_page']","['put 2 books on bookshelf', 'pick up 2 books and place them on the top shelf', 'stack 2 books up on the top shelf']","['put 3 books on bookshelf', 'pick up 1 book and place it on the bottom shelf', 'stack 3 books up on the middle shelf']"
PushButtons,"['push_buttons_boundary', 'push_buttons_target0', 'push_buttons_target1', 'push_buttons_target2', 'target_button_topPlate0', 'target_button_topPlate1', 'target_button_topPlate2', 'target_button_wrap0', 'target_button_wrap1', 'target_button_wrap2']","['push the maroon button, then push the green button', 'press the maroon button, then press the green button', 'push down the button with the maroon base, then the green one']","['push the blue button, then push the yellow button', 'press the blue button, then press the yellow button', 'push down the button with the blue base, then the yellow one']"
PutGroceriesInCupboard,"['chocolate_jello', 'strawberry_jello', 'soup', 'tuna', 'spam', 'sugar', 'coffee', 'mustard', 'boundary_root', 'crackers', 'chocolate_jello_visual', 'strawberry_jello_visual', 'soup_visual', 'tuna_visual', 'spam_visual', 'sugar_visual', 'coffee_visual', 'mustard_visual', 'cupboard', 'crackers_visual']","['put the crackers in the cupboard', 'pick up the crackers and place it in the cupboard', 'move the crackers to the bottom shelf', 'put away the crackers in the cupboard']","['put the chocolate_jello in the cupboard', 'pick up the soup and place it in the cupboard', 'move the tuna to the bottom shelf', 'put away the sugar in the cupboard']"
TakeTrayOutOfOven,"['oven_boundary_root', 'tray', 'oven_frame0', 'oven_base', 'tray_visual', 'oven_knob_8', 'oven_stove_top0', 'oven_gas_source0', 'oven_knob_10', 'oven_knob_11', 'oven_knob_12', 'oven_knob_13', 'oven_knob_14', 'oven_door', 'oven_knob', 'oven_tray', 'oven_door_visual', 'oven_knob_visual', 'oven_tray_visual']","['take tray out of oven', 'open the oven and take the baking tray out', 'grasp the handle on the over door, open it, and remove the tray from the oven', 'get the baking tray from the oven', 'get the tray', 'take out the tray', 'retrieve the oven tray']","['put tray into oven', 'close the oven and put the baking tray in', 'grasp the handle on the oven door, close it, and place the tray into the oven', 'put the baking tray into the oven', 'put the tray', 'place the tray in', 'insert the oven tray']"
